,id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
0,pfbid02WrApAZ2kFBxbxHbxQZtqPUfAUWHhLWgp4SdsHfMDAfk93PpVkNhGtoAf576p9LqDl,FilmSpell,135,782,297,0,99,0,0,0,1178,0,Here in Black History Month I give tribute to those great black comedians who restored spirits; exposed absurdities and hypocrisy; reminded us of the depth human condition and power our common humanity; called out injustice; helped us to find healing in humor and laughter amidst the pain; who ultimately advanced our nation through their artistry.,2024-02-02T19:02:34.700788,['blob:https://www.facebook.com/77802120-c710-4906-94e4-ab5886a95f38'],https://scontent.fdel29-1.fna.fbcdn.net/v/t15.5256-10/422903007_737624251655633_7019917361675117624_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-7&_nc_sid=1a7029&_nc_ohc=UFqnhv5KHZIAX-0nDTh&_nc_ht=scontent.fdel29-1.fna&oh=00_AfC_cp35Vf_1DksniytlNFfE3lJRspFFKbJjk6xpAftaww&oe=65C354E2,https://www.facebook.com/corybooker/posts/pfbid02WrApAZ2kFBxbxHbxQZtqPUfAUWHhLWgp4SdsHfMDAfk93PpVkNhGtoAf576p9LqDl?__cft__[0]=AZUVQs6Ic2cCjxNccjVoPjz_f5iaG8850oug4FUVTd5wLRLbCRueW9XdF1dDTkefFvcCFNhlOT8jwcdZQuLjCAyUlYTtlWf7Hlg9lBF1e_Cawt7LSrZhWkCDXUYPLJ2ciL6rtxdJeL3NMirdayC2sTASIul0rJRR7QQcpZV3nepP21SdAv-Ou5xGwqlwPAHEN4Y&__tn__=%2CO%2CP-R
1,pfbid0vf8fCWZ4um3EJq7NRVhDqei9f2Qrdz8RVjvtAGTCUjVjcx7QPT2dyBwZLqn8K73kl,FilmSpell,55,114,0,0,257,125,0,0,496,0,"My heart is broken tonight. Joe Madison, the Black Eagle, was a living legend who lifted millions with his voice and his vision. He lifted me as a mentor and friend and someone who held me accountable as we should hold all of our elected officials. I will miss him dearly. My thoughts are with his wife, Sharon, and his family.",2024-02-02T09:02:34.827183,[],,https://www.facebook.com/corybooker/posts/pfbid0vf8fCWZ4um3EJq7NRVhDqei9f2Qrdz8RVjvtAGTCUjVjcx7QPT2dyBwZLqn8K73kl?__cft__[0]=AZU3D60TspEXns_WqDojXm4Weg5Dzl2jb8AXrIr7QOKMiYe5CHbTGz3UZWOT1UjG9G-D6HzO993BUFl_Spj9SILEcIvBY8QMRQSlOfA4uSRKsMDykmyDKv2lYhJRANCEgcH5a7OFjDyJjlRVd5Ob4q1ic6Bzt5_dKYcf0DpvBv9Luw&__tn__=%2CO%2CP-R
2,pfbid033nAU4YRSjPa5gRaPusWQumMGwjKAG6Ffg5m9cPqCdcDTzZ7b4V7wazfr3mwRtrwbl,FilmSpell,69,187,48,0,0,0,0,0,235,0,"We face some big and growing problems, and we must meet them with big and bold ideas. Together we can make the American dream real for so many more people, especially children.",2024-02-02T09:02:34.929180,[],https://external.fdel29-1.fna.fbcdn.net/emg1/v/t13/3147849342197892425?url=https%3A%2F%2Fapi.time.com%2Fwp-content%2Fuploads%2F2024%2F01%2Fcory-booker.jpeg%3Fquality%3D85%26w%3D1200%26h%3D628%26crop%3D1&fb_obo=1&utld=time.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbEo-_DZG8lCq-1ppi8T818JLpS_zPMrY4wXveHpNNikwA&oe=65BF08CE&_nc_sid=139b9a https://external.fdel29-1.fna.fbcdn.net/emg1/v/t13/11629075080923586304?url=https%3A%2F%2Fmedia0.giphy.com%2Fmedia%2Fc76IJLufpNwSULPk77%2Fgiphy.gif%3Fcid%3D120c0147muivdtgtisjexizfxcq4uivlapjn6aodzzel4n40%26rid%3Dgiphy.gif%26ct%3Dg&fb_obo=1&utld=giphy.com&stp=dst-emg0_q75_s396x396&ccb=13-1&oh=06_AbFTkX17UXvjU8UbLT8RjfNN93cW6gtcDSUA2DjXPrJtBw&oe=65BF2D06&_nc_sid=139b9a https://scontent.fdel29-1.fna.fbcdn.net/v/t39.30808-1/351886642_748093870333045_1693590754594860006_n.jpg?stp=dst-jpg_p148x148&_nc_cat=102&ccb=1-7&_nc_sid=4da83f&_nc_ohc=YHgfn-2O3ykAX-ZAZFR&_nc_oc=AQl7h1bidwatN7pUL_9RwwhHCHE1fSBkgKV5C0hFUG8rDgaWF3W4DSiiZKDh4xBpllY&_nc_ht=scontent.fdel29-1.fna&oh=00_AfDauGx_vWQQic5fWYnCoYLc0H3JL-gI7MnZfk_BfmWU2g&oe=65C327B0,https://www.facebook.com/corybooker/posts/pfbid033nAU4YRSjPa5gRaPusWQumMGwjKAG6Ffg5m9cPqCdcDTzZ7b4V7wazfr3mwRtrwbl?__cft__[0]=AZVrk3CmzKDD5zOOi68zD9sW6uHnRlzjBSZcXdjMQcaJuWPe6XL-yleHfuIyOe6miY246JRmvXI7VBh7TCmOSxzZSiDHA45K2Kpf2TZsn4rzRL3dYICIrX64uMNds6Qv_QJe_w-g01O-Pah7So13ZQKYAMBSrGwP4DZZ8Af6SU90DHzouApu3aRdA_kPPIoXfsM&__tn__=%2CO%2CP-R
3,pfbid0EKCPE9bufZPzGtM9LWAHnmr6VgsNFHruPU7XUbX2t64bjVuphmNyhXYgwfqrJD8tl,FilmSpell,102,1200,481,0,324,0,0,0,2005,0,"These extraordinary men are courage personified. On the first day of February in 1960 they went to Woolworth's in Greensboro, North Carolina and staged a sit in at the segregated lunch counter. At the time their refusal to leave when asked was a radical act of civil disobedience and a further inspiration for the growing Civil Rights movement. Theirs was a triumph of creative activism and brave sacrifice. They helped further inspire millions and further energize a movement.Today may we confront the ugly parts of our history and honor those extraordinary Americans that helped us overcome giving us now a towering testimony to hope hewn from despair and freedom secured through struggle. Our great storyOur great struggleOur great nationBlack History Month",2024-02-02T09:02:35.096579,[],https://scontent.fdel29-1.fna.fbcdn.net/v/t39.30808-6/424799355_949470669882724_418587705496831076_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=cF1YxgJMFmYAX9eFIlp&_nc_ht=scontent.fdel29-1.fna&oh=00_AfAzaxnQ_CCeg9c5zSwnYtm0WQg5jkUqqAGssPDW35mFVA&oe=65C2D42A,https://www.facebook.com/corybooker/posts/pfbid0EKCPE9bufZPzGtM9LWAHnmr6VgsNFHruPU7XUbX2t64bjVuphmNyhXYgwfqrJD8tl?__cft__[0]=AZXTPsFUa6D59hOz3eYREVMObuSpCzPB7dunxazQRjznGDOi9fd1dOF6PFRC0ZNQn2uY4Vk2GAOpNuZDUFzeSxhGVrx0wMadtS_VGAxOR15vEohUv6USPXTjdzhFqP3mbE0iEpx6Q-3tWQ9krY5RjZn9Ef2Jaq6wIDmAVYdBSdR2VsZpQF5Vbeu4ZOT9OiDn0CY&__tn__=%2CO%2CP-R
4,pfbid0igza6MTYC6x99euHfAYFMXZA39QNqxt9DrzXWjgAGQKqASgKEB5gThoQpFa7JWFtl,FilmSpell,17,68,19,0,0,0,0,0,87,0,I am so thrilled to endorse Angela Alsobrooks for Senate. Please join me in supporting her and making her Maryland's next Senator: https://secure.actblue.com/donate/bs_tw_aal_q1,2024-02-01T09:02:41.898325,['blob:https://www.facebook.com/39f14f97-7d75-414c-ba06-5c5f76be06c1'],https://scontent.fdel29-1.fna.fbcdn.net/v/t15.5256-10/417661015_1116491229378290_3265658990822214384_n.jpg?stp=dst-jpg_p180x540&_nc_cat=104&ccb=1-7&_nc_sid=1a7029&_nc_ohc=Hn5XUAgzSTkAX9VGt9F&_nc_ht=scontent.fdel29-1.fna&oh=00_AfCOUrEO69Ew_W_FFPWZkBmmwjujCL92ipP4Hn6z905CGg&oe=65C30593,https://www.facebook.com/corybooker/posts/pfbid0igza6MTYC6x99euHfAYFMXZA39QNqxt9DrzXWjgAGQKqASgKEB5gThoQpFa7JWFtl?__cft__[0]=AZVKxPpRiOyfnFT19rKE0XVU0mrh1--cTlP5fwvAYyIGVS7MoDnQvDGCX2Og6oi71yCl-o__wVN6s2C73i0tK5Yi5eo1P943fmegtTlJXH0T5s2HUlMIsHPYsr6o3vrbG8vczmBFItjak6uKHSIO81mxdKwY6tmIEt6_m80ugaS_KR1hEsk_b_inLfQC51pln6Ri_nNWMlIrih4AhEKqTwNr&__tn__=%2CO%2CP-R
5,pfbid02rFgwMFL42CJt1tVRbSC37qpfD1xpb7qfSCvcPU8vDB2BxJBZt4zhcoYjW3MxdBnCl,FilmSpell,155,176,44,0,0,0,0,0,220,0,"Our economy under President Biden continues to grow, beating many predictions, and putting us on a path to opportunity for all.",2024-01-26T03:26:00,[],https://external.fdel29-1.fna.fbcdn.net/emg1/v/t13/7085512915600653179?url=https%3A%2F%2Fmedia.npr.org%2Fassets%2Fimg%2F2024%2F01%2F25%2Fgettyimages-1886210893_wide-0b91adfeaed4e704a96b6f4a7ee4c448721a207f-s1400-c100.jpg&fb_obo=1&utld=npr.org&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbHo2AuIP9DiLXgCGgL-paqHChwkI4xa-LDotzUgZXfcZQ&oe=65BF3BDA&_nc_sid=139b9a https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/corybooker/posts/pfbid02rFgwMFL42CJt1tVRbSC37qpfD1xpb7qfSCvcPU8vDB2BxJBZt4zhcoYjW3MxdBnCl?__cft__[0]=AZVPE_fiqmO8cAv_Ymep68U9qB_tzYQjpUv9JRoahQXwd3x4SetwQ3pQwMDBtbOdY0OxEQXjWZGucZqswvdK1-NvGEm8WzDNfuHWWO5xPrCaSJsbfTZpFU1velMg7ZFQVu_Ztt3L68cI_YQBB5siLZkUySHm8dx6MP2IGPVxI3N-GJMrXYmUYpChSMYa3XJlng0&__tn__=%2CO%2CP-R
6,pfbid031QtRK2MqcNQTJJWRKKTh1x9bf5fdBjL2GjUB6gHTZpnSvB4sRNaEVYME7Z2S6jbZl,FilmSpell,133,203,47,0,0,0,0,0,250,0,"I remain against the death penalty in our nation. It is flawed, biased and unjust and on many occasions innocent people have been given a death sentence.  This particular execution is a flagrant example of cruel and unusual punishment. It is not the carrying out of justice but the ushering in of more injustice. Again, from Bryan Stevenson:""Proximity has taught me some basic and humbling truths, including this vital lesson: Each of us is more than the worst thing we’ve ever done. My work with the poor and the incarcerated has persuaded me that the opposite of poverty is not wealth; the opposite of poverty is justice. Finally, I’ve come to believe that the true measure of our commitment to justice, the character of our society, our commitment to the rule of law, fairness, and equality cannot be measured by how we treat the rich, the powerful, the privileged, and the respected among us. The true measure of our character is how we treat the poor, the disfavored, the accused, the incarcerated, and the condemned.""",2024-01-25T18:29:00,['blob:https://www.facebook.com/de5e1669-89ff-4af2-b197-ae32c808f6a0'],https://scontent.fdel29-1.fna.fbcdn.net/v/t15.5256-10/420092304_1597568051051424_4010296726059410863_n.jpg?stp=dst-jpg_s960x960&_nc_cat=108&ccb=1-7&_nc_sid=1a7029&_nc_ohc=cB8jYawAfJoAX8QkONF&_nc_ht=scontent.fdel29-1.fna&oh=00_AfAhWaU7lOvUL7q4rjNVda_oTdOPeZ4SZVq8yMDF221WdA&oe=65C1D559,https://www.facebook.com/corybooker/posts/pfbid031QtRK2MqcNQTJJWRKKTh1x9bf5fdBjL2GjUB6gHTZpnSvB4sRNaEVYME7Z2S6jbZl?__cft__[0]=AZWpBcmM5q25NdNAUbphU0Yrg8pkVuxYnb7Ziht0ajuUtrs5I1FuInX2GV9KgM6_U5_mWk2-qkV3hI_HjULlhlmjGRh_E-TcPMXP6YXCALvr6s5K3Ua3QniYw2QWBRYPCE7wjyRN5EjMY-8JNX0WCfqD8PnWeQCCaJy8AzTQ-DAnxHeIechhxVQUfg_dYZSIw4s&__tn__=%2CO%2CP-R
7,pfbid02tbYfZNDgv5A32uJL6KtKZco7wVM1qJnYLJLQHKVYJ3SDCpAB13qiCTsvUBuMpgVQl,FilmSpell,63,141,74,0,0,0,0,0,215,0,"One of my favorite questions to ask young people is ‘if you were the leader of America, and you could make ANY change you want, what would the change be?’ The answers from students from Far Brook School in New Jersey who visited me last year did not disappoint. In fact, they left me with a profound sense of hope. I know that future generations are striving to be the best stewards of this nation.",2024-01-24T04:18:00,['blob:https://www.facebook.com/ff3732a8-3642-49d9-93ba-54dfa9c86470'],https://scontent.fdel29-1.fna.fbcdn.net/v/t15.5256-10/422088939_695314672686557_8392462662553434357_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-7&_nc_sid=1a7029&_nc_ohc=3BxR4SGxoC4AX-BbqbQ&_nc_ht=scontent.fdel29-1.fna&oh=00_AfAIYRSVzLipKZWwHN1F-K6pZE_q9xEoDlMF0n-UfroayA&oe=65C336CA,https://www.facebook.com/corybooker/posts/pfbid02tbYfZNDgv5A32uJL6KtKZco7wVM1qJnYLJLQHKVYJ3SDCpAB13qiCTsvUBuMpgVQl?__cft__[0]=AZVpuel0cnsPzYMXPGk5CskA5kUlrXRsU3G33SPyXoQpztIBULS-xe7YiMW44g2dC5T0p68OWHjTzUhQsmbkovYSpfROkiDU2weAAULjCsftmh5Vyjf3ltej8p5dt5xfoOqelhStc_JMUjR00FxjVQgRB6PVwNw-YeV_TT9ki1hT4ponY72LLnMsGvXzOTbIza8&__tn__=%2CO%2CP-R
8,pfbid02J2T1GPHY3n9HmNgRbqRvF1STi6rzxsii2QD1Eg63Z1HjKh4xXS61XFTXgWiNgNxvl,FilmSpell,231,686,173,0,0,0,0,0,859,0,"A year from today, you don’t want to wish you’d done more. I hope you’ll join me in working every day to ensure that next year on January 20th, we’ll be celebrating the inauguration of Joe Biden and Kamala Harris, with a Democratic House and Senate.",2024-01-21T01:37:00,[],,https://www.facebook.com/corybooker/posts/pfbid02J2T1GPHY3n9HmNgRbqRvF1STi6rzxsii2QD1Eg63Z1HjKh4xXS61XFTXgWiNgNxvl?__cft__[0]=AZXsoWynWhEZZpJokTFmuA2ZJDOYd7LyXA4FMOwCTGITZqj8egEGy_i9SuhyJJdgWoEEk9GNzS8TPSSbmiCdWdKh6mt3ODigTVnga-U1emgUESSAqDDnOJHYMGj-xp4XRwg5P2J8K16wfuwHJcUPBxSmTWIZRWDxv4kP5VpiAzeoag&__tn__=%2CO%2CP-R
9,pfbid02ziUmg37E7kssDqGAkvQS5y7wp4s6BdGtncwpCG3H3UddX7hNa1U5rE1LGPHq24L4l,FilmSpell,73,170,34,0,0,0,0,0,204,0,"In 2021 the IRS reported that wealthy tax cheats failed to pay $688 BILLION dollars. This is money that could have made a difference in everything from closing our deficit, to funding public schools. After this report, in 2022 the Biden Administration passed the Inflation Reduction Act that expanded funding to the IRS. In hopes that the incredibly under-resourced function of government could recoup the cheated money...and its working. To this date, the IRS has recouped $520 million. But truthfully this is still only a drop in the bucket. And now that better funding the IRS has proven to work, Republicans are doing everything in their power to stop this progress. Going as far as proposing a $20 billion budget cut to the IRS. It doesn’t take a budget expert to know that allowing the wealthiest taxpayers to get away with cheating actually increases the burden on hardworking American families who play by the rules and pay their fair share.",2024-01-20T18:12:00,['blob:https://www.facebook.com/d388abf0-c0a7-4993-bfa9-e878008e04e8'],https://scontent.fdel29-1.fna.fbcdn.net/v/t15.5256-10/420100831_743315744046490_1494952524652649617_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-7&_nc_sid=1a7029&_nc_ohc=l4xGpY6o7tMAX-PqR79&_nc_ht=scontent.fdel29-1.fna&oh=00_AfBYdbM8nvuCOwhdhs2Uv5BmW1YxdBviWpBfwWF8y52wWQ&oe=65C29580 https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/corybooker/posts/pfbid02ziUmg37E7kssDqGAkvQS5y7wp4s6BdGtncwpCG3H3UddX7hNa1U5rE1LGPHq24L4l?__cft__[0]=AZUaC_S9H01W7Of_nMDO6_OpStEW44olk2HN9H51ITHBxVhRO9mxudVPmVhTEfGX2tAakP9njXJ1UFsedF37gWupEkoZEPg48yyHla6OKDeLCzZXSCDubsdQ5tJtmaY1Wi3-B0h3QkT_DC7myQOo2ws7jklp96GnSZ3nKf2EY5g1f-Kidj91DgnnxBImG49tYv8&__tn__=%2CO%2CP-R
